Situation Domain,Agent,Pivot,Co-Agent,Precondition,Stimulus,Causer,Source,Initial_location,Initial_state,Trajectory,Instrument,Manner,Attribute,Material,Asset,Theme,Co-Theme,Location,Topic,Patient,Co-Patient,Experiencer,Recipient,Beneficiary,Goal,Destination,Result,Final_State,Product,Value,Eventuality,Maleficiary
Motion,mover,,,,,,origin,origin,,trajectory,carrier,,,,,theme,,position,,,,,,,destination,destination,result,,,,,
Force,antagonist,antagonist,,,,,,origin,,trajectory,means,manner,,,,agonist,,position,,agonist,,agonist,,,,destination,result,,,,purpose,
Transformation,transformer,,,,stimulus,transformer,origin,origin,initial,,catalyst,manner,attribute,material,,theme,,,,undergoer,,,,,,,result,result,product,,,
Incremental,mover,mover,,,,,origin,origin,,trajectory,carrier,manner,,,,theme,theme,,,theme,theme,,,affectee,,destination,result,result,,,,
Creation,maker,,,,,,origin,,,trajectory,,,attribute,material,asset,work,,location,,work,,,recipient,affectee,,destination,result,,product,,,
Location,,,,,,,,,,,,,,,,trajector,,landmark,,,,,,,,,,,,,,
Existence,being,,,,stimulus,,,,,trajectory,,manner,,,,being,,location,topic,theme,,experiencer,recipient,,,,,,,,,
Possession,transactor,transactor,,,,,origin,,,,,,,,asset,item,,,,,,,recipient,affectee,recipient,,,,,,,
Communication,communicator,,,,,,,,,,medium,manner,characterization,,,message,,,topic,,,,addressee,affectee,,,result,,,,message,
Affiliation,affiliator,,,,,,institution,origin,,trajectory,,,role,,,participant,,,,,,,,affectee,institution,destination,result,,,,task,affectee
Participation,participant,,,,,,institution,origin,,trajectory,,,role,,,participant,,,,,,,,affectee,institution,destination,result,,,,task,affectee
Interaction,interactor,,interactor,,,,,,,,,manner,,,,interaction,,,,,,,,,,,,,,,,
Action,actor,,,actor,,,,,,,,manner,attribute,,,target,,,,target,,,,affectee,,,action,,,,action,
Control,controller,,,,,controller,,,,,,,,,,subordinate,,,,,,,,subordinate,,,regulation,,,,regulation,
Perception,experiencer,,,,stimulus,,,,,,,,,,,stimulus,,,,,,experiencer,,,,,,,,,,
Attend,,,,,focus,,,,,,,,,,,,,,,,,attender,,,,,,,,,,
Affect,,,,,affecter,,,,,,,,,,,,,,,,,affectee,,,,,,,,,,
Desire,,wisher,,,,,,,,,,,,,,wish,,,,,,,,,,,,,,,,
Volition,intender,intender,,,,,origin,,,,,,characterization,,,intent,,location,topic,,,,,,,,,,,,,
Cognition,student,,,,,,source,,,,,,,,,,,,topic,,,,,,,,,,,,,
Evaluation,evaluator,,,,phenomenon,,,,,,,,attribute,,,phenomenon,,,,,,evaluator,,,characterization,,,,,value,situation,
Quantification,evaluator,,,,,,,,,,,,attribute,,,item,,container,,,,,,affectee,,,,,,value,,
Association,associator,associator,,requirement,,,basis,,,,requirement,,attribute,,,analogue,analogue,,topic,,,evaluator,,,,,,,,,,
Causation,,,,cause,,,,,,,,,,,,,,,,effect,,,,,,,,,,,,